span_length_m,beam_width_m,beam_height_m,modulus_of_elasticity_gpa,reinforcement_ratio,boundary_condition,applied_load_kn,max_deflection_mm,ultimate_load_kn,factor_of_safety,crack_width_mm,beam_type
4.2472407130841745,0.3926094938462863,0.3721867081851528,22.53402594608247,0.028289545372535946,SS,77.76993932579295,3434.4922928477417,586.284153299089,7.53869886464787,0.6552939430833699,concrete
7.704285838459497,0.22524198949851465,0.9317870346756967,24.17885508547938,0.006101561716570454,SS,131.2851421067537,3082.666930560719,1214.6728672988022,9.252173153844769,0.2963907446258136,wood
6.391963650868431,0.24848861422838414,0.6536766607135,22.655157264151203,0.023051534406672528,FIXED,180.94187538146124,2038.5114156507116,902.2183874803486,4.9862332065382535,1.4283816554601152,prestressed_concrete
5.59195090518222,0.4695662565581238,0.878520226275419,21.330538006355834,0.024268601855314237,SS,159.83373296143418,992.5370302834148,4315.106493349543,26.997470517632983,0.3834090410900325,wood
2.9361118426546193,0.38192871789787697,0.5240347207214282,21.809538066509013,0.016965226852095443,SS,170.98417217921747,900.5693675939244,2568.7199541121404,15.023144665225097,0.27040849311459303,wood
2.9359671220172157,0.2027591154849889,0.9268662599473403,26.911681520490887,0.029457769424988914,SS,148.8175050066076,228.42799818646472,8633.536950466765,58.01425679111762,0.23621342022689076,prestressed_concrete
2.3485016730091965,0.23044146285980965,0.5724411751139141,23.095005776086886,0.037374680590760594,SS,153.84148467767787,517.3098579389996,3487.8785996825145,22.671898980890422,0.4310322001996245,concrete
7.197056874649611,0.39905053073241675,0.3075863560362088,25.46404791572113,0.03702274051627105,SS,177.37934773479788,55300.22446767753,342.06743498642425,1.9284513070701648,3.1299113224118034,steel
5.606690070459253,0.20151847515386562,0.9337673834934845,27.551259062822854,0.018033574856165285,FIXED,87.45020132887788,244.1449546464636,3132.1786088138774,35.816711239286384,0.22255464371979555,concrete
6.248435466776273,0.2482424154252496,0.36390067375029345,30.35592242944048,0.00452952183363021,SS,123.41374454647107,22788.459707595233,188.3984175391685,1.5265594462878294,0.5441931325967263,steel
2.1235069657748147,0.36462013680997585,0.5235195463132903,20.589682097616485,0.039393647958493386,SS,83.18141627294034,182.1288651234198,4100.984754737815,49.30169427845991,0.22505357507429086,concrete
7.819459112971966,0.407568559307808,0.9650433769355633,31.99115598363564,0.03355592345783737,SS,198.15020119949705,2001.4761731416133,3555.0012760092995,17.94094204542409,0.9297196212278961,concrete
6.99465584480253,0.39558837785078016,0.9654250028562892,29.418505842363615,0.004986507248130674,SS,191.608900952992,1460.1197908098777,3493.8307729058893,18.234177825397797,0.13287769888096568,wood
3.274034664069657,0.26728079283816797,0.7014065216863002,21.22638547923308,0.03683367530469489,SS,55.914021705275886,265.36137043501685,3088.975957663075,55.24510424138581,0.2256100296999098,concrete
3.0909498032426037,0.41365376640426077,0.7422860485188594,33.10367936160166,0.03479585448248513,SS,155.83627587735327,213.3843932188204,10368.379485055795,66.53379918560135,0.18761754455121787,prestressed_concrete
3.100427059120603,0.27117472624904004,0.6139118653848238,33.8130860079772,0.020753522285042885,SS,188.7872476123499,625.9907551785565,4187.425872261771,22.180660639007282,0.29694143940450723,steel
3.8254534577572263,0.29761990944778033,0.5052475401886452,20.916169397822955,0.02365101742979717,FIXED,77.08630176910003,369.44660765882804,1189.921141620391,15.436220370055029,0.4253169950969437,steel
5.148538589793427,0.4239474215354072,0.5300651817589411,24.153164722208054,0.01596010815480521,SS,135.1917845828944,3133.790551262604,1052.164562750872,7.782755187359222,0.5610947541805237,wood
4.591670111852695,0.3948898697141644,0.7707629192539269,32.09301919689592,0.0021904655528812533,FIXED,187.3232446382063,241.6203160164621,5491.743920270125,29.316937846537993,0.029127208369405265,wood
3.7473748411882513,0.4547670231482534,0.8266621706063759,31.223895355754877,0.013407889665836037,FIXED,55.09189678786983,25.877076079237685,12744.501846589566,231.3316946712145,0.02506161508143928,steel
5.671117368334277,0.39728386769010304,0.8541053306080939,22.76781529034566,0.03211413794392046,SS,154.61304008702598,1363.7374126304958,3338.0056551579837,21.589418675676665,0.630817873188821,prestressed_concrete
2.836963163912251,0.37049258100064153,0.8527326999561877,23.140239850050655,0.00018528092018411436,SS,94.6023511058826,94.49278429978996,11027.34298420902,116.56521064541823,0.0006180919146229162,concrete
3.752867891211309,0.22810243034842775,0.3638442721340832,25.55708154187073,0.013339966867645768,FIXED,188.65942930647955,2627.3888665818276,422.52010926452965,2.239591791503517,1.0971071125990963,concrete
4.19817105976215,0.31031474091783007,0.646094213291807,27.26784477786532,0.015926747743637733,FIXED,195.65873677480516,517.9854941850066,2585.685467990119,13.215282438249268,0.4249621175725519,wood
4.736419905302215,0.2795607103045176,0.34029113201165095,29.27382157295444,0.021495824117516917,FIXED,191.63997336701507,4659.738385221685,450.1186977111304,2.34877249147335,1.4560407693849873,steel
